date,avg_temp (celsius),precipitation (mm),wind_speed (km/h),visibility (km)
01-01-2003,9,0,3,15
02-01-2003,10,0,5,15
03-01-2003,10,0,5,15
04-01-2003,11,0,5,15
05-01-2003,11,0.25,5,6
06-01-2003,14,0,13,16
07-01-2003,12,0,6,15
08-01-2003,10,0,6,12
09-01-2003,11,22.61,10,7
10-01-2003,14,5.08,14,34
11-01-2003,12,0,6,16
12-01-2003,14,2.29,13,29
13-01-2003,13,0,5,15
14-01-2003,12,0,6,14
15-01-2003,13,0,8,16
16-01-2003,12,0,10,16
17-01-2003,11,0,3,16
18-01-2003,10,0,6,9
19-01-2003,9,0.25,10,7
20-01-2003,9,1.27,10,5
21-01-2003,11,2.03,8,5
22-01-2003,14,2.03,11,35
23-01-2003,14,0.76,8,14
24-01-2003,13,0,8,13
25-01-2003,14,0,5,13
26-01-2003,13,0,6,13
27-01-2003,14,0,8,13
28-01-2003,13,0.25,5,10
29-01-2003,12,0,6,11
30-01-2003,13,0,6,11
31-01-2003,12,0.25,8,9
01-02-2003,12,0,23,63
02-02-2003,12,0,14,16
03-02-2003,11,0,6,16
04-02-2003,11,0,8,16
05-02-2003,11,0,18,16
06-02-2003,9,0,10,16
07-02-2003,11,0,18,16
08-02-2003,8,0,6,16
09-02-2003,8,0,6,16
10-02-2003,9,0,5,15
11-02-2003,11,0.25,5,13
12-02-2003,11,10.92,8,8
13-02-2003,13,6.1,10,9
14-02-2003,13,0,21,34
15-02-2003,12,22.86,14,60
16-02-2003,11,4.06,16,58
17-02-2003,11,0,8,16
18-02-2003,11,0,11,16
19-02-2003,11,1.27,21,63
20-02-2003,11,0,13,16
21-02-2003,12,0,10,16
22-02-2003,13,0,6,15
23-02-2003,12,0,5,15
24-02-2003,12,10.92,10,14
25-02-2003,12,0.51,11,16
26-02-2003,11,5.08,13,15
27-02-2003,10,0.25,11,40
28-02-2003,10,0,11,16
01-03-2003,13,0,18,16
02-03-2003,11,0,11,15
03-03-2003,11,0,13,16
04-03-2003,10,0,10,16
05-03-2003,12,0,8,16
06-03-2003,12,0,13,45
07-03-2003,11,0,27,47
08-03-2003,11,0,16,16
09-03-2003,11,0,10,16
10-03-2003,13,0,11,14
11-03-2003,13,0,16,14
12-03-2003,14,0,11,16
13-03-2003,14,0,23,63
14-03-2003,16,10.16,31,60
15-03-2003,13,8.89,24,61
16-03-2003,12,2.79,16,14
17-03-2003,12,0,27,76
18-03-2003,12,0,23,58
19-03-2003,13,2.03,23,40
20-03-2003,13,0,23,42
21-03-2003,12,0,21,42
22-03-2003,13,0,13,32
23-03-2003,12,5.59,14,34
24-03-2003,12,0,19,47
25-03-2003,13,0,11,16
26-03-2003,13,0.25,14,50
27-03-2003,12,0,19,39
28-03-2003,18,0,21,16
29-03-2003,17,0,6,16
30-03-2003,17,0,10,16
31-03-2003,14,0,16,45
01-04-2003,12,0,31,47
02-04-2003,10,7.37,14,45
03-04-2003,9,2.03,10,32
04-04-2003,11,11.43,23,55
05-04-2003,10,0,19,55
06-04-2003,12,0,16,34
07-04-2003,13,0,16,16
08-04-2003,14,0,13,39
09-04-2003,14,0,14,16
10-04-2003,14,0,13,16
11-04-2003,12,0,10,35
12-04-2003,12,31.24,27,66
13-04-2003,11,11.43,16,45
14-04-2003,11,5.59,13,48
15-04-2003,11,0,16,34
16-04-2003,12,1.78,10,16
17-04-2003,13,0,16,64
18-04-2003,13,0,29,52
19-04-2003,13,0,16,45
20-04-2003,13,0,21,16
21-04-2003,11,2.29,19,42
22-04-2003,11,3.05,23,48
23-04-2003,13,0,18,40
24-04-2003,11,7.62,21,40
25-04-2003,12,9.65,18,42
26-04-2003,11,0,11,16
27-04-2003,12,10.16,13,40
28-04-2003,12,6.35,18,40
29-04-2003,12,0.25,13,16
30-04-2003,12,0,13,16
01-05-2003,16,0,6,16
02-05-2003,15,10.67,14,14
03-05-2003,15,5.08,13,45
04-05-2003,14,0,24,42
05-05-2003,13,0,26,47
06-05-2003,13,0,19,34
07-05-2003,13,0,21,63
08-05-2003,12,0.25,29,55
09-05-2003,12,0,26,58
10-05-2003,13,0,18,16
11-05-2003,13,0,18,42
12-05-2003,14,0,16,16
13-05-2003,14,0,21,15
14-05-2003,13,0,23,53
15-05-2003,13,0,29,55
16-05-2003,13,0,18,48
17-05-2003,13,0,24,14
18-05-2003,16,0,16,16
19-05-2003,19,0,11,16
20-05-2003,19,0,16,16
21-05-2003,16,0,23,58
22-05-2003,13,0,26,14
23-05-2003,15,0,18,37
24-05-2003,13,0,24,42
25-05-2003,17,0,18,37
26-05-2003,16,0,19,39
27-05-2003,20,0,14,16
28-05-2003,20,0,13,16
29-05-2003,16,0,19,48
30-05-2003,14,0,21,45
31-05-2003,14,0,21,48
01-06-2003,16,0,14,45
